Employee Id,Department,Job Title,Hourly Rate 
E00001,Office of Economic Development,"StratAdvsr2,Exempt",71.32
E00002,Office of Economic Development,Admin Staff Asst *,38.46
E00003,Education & Early Learning,"StratAdvsr1,Exempt",60.646
E00004,Education & Early Learning,Admin Staff Asst,44.83
E00005,Education & Early Learning,"Grants&Contracts Spec,Sr",43.1
E00006,Education & Early Learning,"Early Ed Spec,Sr BU",52.2
E00007,Police Relief & Pension Fund,Contract Employee *,94.473
E00008,Parks & Recreation,"Sfty&Hlth Spec,Sr",53.82
E00009,Parks & Recreation,High School Intern *,19.97
E00010,Parks & Recreation,High School Intern *,19.97
E00011,Parks & Recreation,Cooperative Intern *,20.94
E00012,Parks & Recreation,High School Intern *,19.97
E00013,Parks & Recreation,Cooperative Intern *,20.94
E00014,Parks & Recreation,High School Intern *,19.97
E00015,Parks & Recreation,High School Intern *,19.97
E00016,Parks & Recreation,High School Intern *,19.97
E00017,Parks & Recreation,"Accountant,Prin",58.37
E00018,Parks & Recreation,Rec Attendant *,24.99
E00019,Parks & Recreation,Rec Attendant *,24.99
E00020,Parks & Recreation,Rec Attendant *,24.99
E00021,Parks & Recreation,Rec Attendant *,24.99
E00022,Parks & Recreation,Rec Attendant *,24.99
E00023,Parks & Recreation,Tennis Instructor *,34.02
E00024,Parks & Recreation,Tennis Instructor,39.47
E00025,Parks & Recreation,"Manager2,Parks&Rec",64.5
E00026,Parks & Recreation,"Park Ranger, Senior",38.69
E00027,Parks & Recreation,Pntr,46.16
E00028,Parks & Recreation,Drainage&Wstwtr Coll CC,56.75
E00029,Parks & Recreation,Maint Laborer,34.69
E00030,Parks & Recreation,Maint Laborer,34.69
E00031,Parks & Recreation,Pool Maint Wkr,36.04
E00032,Parks & Recreation,Golf Course Maint Supv,53.79
E00033,Parks & Recreation,"Manager1,Parks&Rec",65.673
E00034,Parks & Recreation,Arboriculturist,46.14
E00035,Parks & Recreation,Laborer,31.13
E00036,Parks & Recreation,Laborer,31.13
E00037,Parks & Recreation,Maint Laborer,34.69
E00038,Parks & Recreation,"Gardener,Sr",38.46
E00039,Parks & Recreation,Laborer,31.13
E00040,Parks & Recreation,Util Laborer,31.85
E00041,Parks & Recreation,Grounds Maint Lead Wkr,38.75
E00042,Parks & Recreation,Maint Laborer,34.69
E00043,Parks & Recreation,Laborer,31.13
E00044,Parks & Recreation,Aquatic Cntr Coord,47.73
E00045,Parks & Recreation,Lifeguard *,24.99
E00046,Parks & Recreation,Lifeguard *,24.99
E00047,Parks & Recreation,Lifeguard *,24.99
E00048,Parks & Recreation,"Aquatic Cntr Coord,Asst",40.26
E00049,Parks & Recreation,"Lifeguard,Sr",29.13
E00050,Parks & Recreation,Lifeguard *,24.99
E00051,Parks & Recreation,Lifeguard *,24.99
E00052,Parks & Recreation,Lifeguard *,24.99
E00053,Parks & Recreation,Lifeguard *,24.99
E00054,Parks & Recreation,Lifeguard *,24.99
E00055,Parks & Recreation,Lifeguard *,24.99
E00056,Parks & Recreation,Lifeguard *,24.99
E00057,Parks & Recreation,Lifeguard *,24.99
E00058,Parks & Recreation,Cust Svc Rep,32.31
E00059,Parks & Recreation,Lifeguard *,24.99
E00060,Parks & Recreation,Rec Prgm Spec,45.44
E00061,Parks & Recreation,Lifeguard *,24.99
E00062,Parks & Recreation,Lifeguard *,24.99
E00063,Parks & Recreation,Rec Attendant *,24.99
E00064,Parks & Recreation,Rec Attendant *,24.99
E00065,Parks & Recreation,Rec Attendant *,24.99
E00066,Parks & Recreation,Rec Attendant *,24.99
E00067,Parks & Recreation,Rec Attendant *,24.99
E00068,Parks & Recreation,Rec Cntr Coord,51.23
E00069,Parks & Recreation,Rec Attendant *,24.99
E00070,Parks & Recreation,Rec Attendant *,24.99
E00071,Parks & Recreation,Rec Attendant *,24.99
E00072,Parks & Recreation,Rec Attendant *,24.99
E00073,Parks & Recreation,Rec Attendant *,24.99
E00074,Parks & Recreation,Rec Leader *,31.63
E00075,Parks & Recreation,"Rec Cntr Coord,Asst",46.52
E00076,Parks & Recreation,Rec Cntr Coord,51.23
E00077,Parks & Recreation,Rec Attendant *,24.99
E00078,Parks & Recreation,Rec Prgm Spec,40.59
E00079,Parks & Recreation,Rec Attendant *,24.99
E00080,Parks & Recreation,Rec Attendant *,24.99
E00081,Parks & Recreation,Work Trng Enrollee *,19.97
E00082,Parks & Recreation,Work Trng Enrollee *,19.97
E00083,Off of Emergency Mngmnt Dept,"StratAdvsr2,CL&PS L17",67.317
E00084,Human Services Department,Executive2,101.035
E00085,Human Services Department,"StratAdvsr2,Human Svcs",73.033
E00086,Human Services Department,Mgmt Systs Anlyst BU,49.32
E00087,Human Services Department,"Personnel Spec,Sr",49.32
E00088,Human Services Department,"Human Svcs Prgm Supv,Sr",57.92
E00089,Human Services Department,Counslr,45.92
E00090,Human Services Department,Counslr,45.92
E00091,Human Services Department,Counslr,45.92
E00092,Human Services Department,Counslr,40.97
E00093,Human Services Department,Counslr,45.92
E00094,Human Services Department,Counslr,45.92
E00095,Human Services Department,Victim Advocate BU,44.04
E00096,City of Seattle,Executive1,80.347
E00097,Arts & Culture,"StratAdvsr2,Exempt",60
E00098,Arts & Culture,Arts Prgm Supv,55.33
E00099,Finance & Admin Services,"Personnel Spec,Sr",49.32
E00100,Finance & Admin Services,"StratAdvsr2,Fin,Bud,&Actg",72.419
E00101,Finance & Admin Services,Facility Techl Supv,53.01
E00102,Finance & Admin Services,Elctn CC,59.38
E00103,Finance & Admin Services,"StratAdvsr2,P&FM",73.98
E00104,Finance & Admin Services,"Mgmt Systs Anlyst,Asst",44.83
E00105,Finance & Admin Services,Auto Mechanic - Spec,53.12
E00106,Finance & Admin Services,Auto Mechanic,45.83
E00107,Finance & Admin Services,Auto Body Wkr/Pntr,45.41
E00108,Finance & Admin Services,Auto Mechanic,51.56
E00109,Finance & Admin Services,Auto Mechanic Pre-Aprn*,27.07
E00110,Finance & Admin Services,"Warehouser,Sr-BU",40.38
E00111,Finance & Admin Services,"StratAdvsr1,Exempt",60.99
E00112,Finance & Admin Services,"StratAdvsr1,PC&RM",61.867
E00113,Finance & Admin Services,"StratAdvsr1,PC&RM",67.11
E00114,Finance & Admin Services,Accountant,47.14
E00115,Finance & Admin Services,"Manager2,General Govt",70.762
E00116,Finance & Admin Services,"Manager2,General Govt",70.763
E00117,Finance & Admin Services,"Cust Svc Rep,Sr",37.47
E00118,Finance & Admin Services,Licenses&Standards Inspector,47.78
E00119,Finance & Admin Services,Cust Svc Rep,34.78
E00120,Finance & Admin Services,"Cust Svc Rep,Sr",37.47
E00121,Finance & Admin Services,"StratAdvsr2,General Govt",67.119
E00122,Seattle Dept of Human Resource,Personnel Anlyst,51.22
E00123,Seattle Dept of Human Resource,Workers' Comp Anlyst,47.56
E00124,Seattle Dept of Human Resource,"Personnel Anlyst,Sr-Comp",59.63
E00125,Seattle Dept of Human Resource,Accountant,47.14
E00126,Seattle Dept of Human Resource,"Mgmt Systs Anlyst,Sr",54.3
E00127,Seattle Dept of Human Resource,"StratAdvsr3,General Govt",80.416
E00128,City Budget Office,"StratAdvsr2,Exempt",78.567
E00129,City Budget Office,"StratAdvsr2,Exempt-P",69.36
E00130,Construction & Inspections,Land Use Plnr II,57.25
E00131,Construction & Inspections,Land Use Plnr IV,65.34
E00132,Construction & Inspections,Permit Spec II,49.32
E00133,Construction & Inspections,Permit Spec II,49.32
E00134,Construction & Inspections,Permit Spec II,49.32
E00135,Construction & Inspections,Permit Spec II,45.71
E00136,Construction & Inspections,Pressure Systs Inspector(J),55.05
E00137,Construction & Inspections,Mech Inspector(J)- BU,55.33
E00138,Construction & Inspections,Site Dev Insp,52.41
E00139,Construction & Inspections,"Housing/Zoning Inspector,Sr",54.25
E00140,Construction & Inspections,Inspection Support Anlyst,54.25
E00141,Construction & Inspections,Actg Tech II-BU,35.9
E00142,Construction & Inspections,Executive2,102.158
E00143,Construction & Inspections,"StratAdvsr2,Info Technol",73.096
E00144,Fire Department,Actg Tech II-BU,33.24
E00145,Fire Department,Executive4,142.65
E00146,Fire Department,Fireftr-Dispatcher-84 Hrs,63.02
E00147,Fire Department,Fire Lieut-Dispatcher-84 Hrs,65.83
E00148,Fire Department,Fireftr-HM-90.46 Hrs,53.29
E00149,Fire Department,Fireftr-Staff10-84 Hrs,66.87
E00150,Fire Department,Fireftr-Ap Drvr C-90.46,57.09
E00151,Fire Department,Fireftr-HM-90.46 Hrs,53.29
E00152,Fire Department,Fireftr-HM-90.46 Hrs,49.96
E00153,Fire Department,Fireboat Engr-90.46 Hrs,72.19
E00154,Fire Department,Fire Capt-RB-90.46 Hrs,71.96
E00155,Fire Department,Fireftr-VRT Ap DrvrC-90.46 Hrs,57.09
E00156,Fire Department,Fireftr-90.46 Hrs,50.43
E00157,Fire Department,Fireftr-HM-Ap Drvr C-90.46 Hrs,63.52
E00158,Fire Department,Fireftr-FB-90.46 Hrs,51.86
E00159,Fire Department,Fireftr-90.46 Hrs,44.72
E00160,Fire Department,Fireftr-ParamedTechSr-90.46,63.75
E00161,Fire Department,Fireftr-Paramed Tech-90.46 Hrs,58.52
E00162,Fire Department,Fireftr-90.46 Hrs,47.1
E00163,Fire Department,Fireftr-Ap Drvr C-90.46,58.28
E00164,Fire Department,Fireftr-Ap Drvr C-90.46,53.76
E00165,Fire Department,Fireftr-90.46 Hrs,44.72
E00166,Fire Department,Fireftr-Ap Drvr C-90.46,53.76
E00167,Fire Department,Fireftr-90.46 Hrs,47.1
E00168,Fire Department,Fireftr-90.46 Hrs,42.34
E00169,Fire Department,Fireftr-90.46 Hrs,47.1
E00170,Fire Department,Fire Capt-90.46 Hrs,67.56
E00171,Fire Department,Fireftr-TRT Dive-90.46 Hrs,53.29
E00172,Fire Department,Fireftr-TRT Dive-90.46 Hrs,59.71
E00173,Fire Department,Fire Lieut-90.46 Hrs,63.98
E00174,Fire Department,Fireftr-90.46 Hrs,44.72
E00175,Fire Department,Fireftr-90.46 Hrs,50.43
E00176,Fire Department,Fireftr-90.46 Hrs,42.34
E00177,Fire Department,"Fire Capt, Sr-90.46 Hrs",73.45
E00178,Fire Department,Fire Lieut-Trng Div-80 Hrs,69.12
E00179,Fire Department,Fireftr-90.46 Hrs,47.1
E00180,Fire Department,Fireftr-90.46 Hrs,42.34
E00181,Fire Department,Fireftr-90.46 Hrs,44.72
E00182,Fire Department,Fireftr-Ap Drvr C-90.46,53.76
E00183,Fire Department,Fireftr-Ap Drvr C-90.46,60.18
E00184,Fire Department,Fire Lieut-90.46 Hrs,58.51
E00185,Fire Department,Fireftr-80 Hrs,47.88
E00186,Fire Department,"Fire Lieut, Sr-90.46 Hrs",65.08
E00187,Fire Department,Fire Battalion Chief-91.4 Hrs,75.75
E00188,Fire Department,Fireftr-Prev Insp I-80 Hrs,68.32
E00189,Seattle Center,Usher *,24.99
E00190,Seattle Center,Usher *,24.99
E00191,Seattle Center,Usher *,24.99
E00192,Seattle Center,Stage Tech *,40.94
E00193,Seattle Center,Stage Tech *,40.94
E00194,Seattle Center,Stage Tech *,40.94
E00195,Seattle Center,Stage Tech *,36.05
E00196,Seattle Center,Sound&Video Equip Tech,48.08
E00197,Seattle Center,Admin Support Supv-BU,42.63
E00198,Seattle Center,"Manager1,Fin,Bud,&Actg",64.05
E00199,Seattle Center,"Personnel Spec,Asst",37.82
E00200,Seattle Center,"Events Booking Rep,Sr",51.22
E00201,Seattle Center,Admin Staff Anlyst,51.22
E00202,Seattle Center,Security Ofcr,31.89
E00203,Seattle Center,Parking Attendant *,24.98
E00204,Seattle Center,Gardener,33.02
E00205,Seattle Center,Laborer,31.13
E00206,Seattle Center,Capital Prjts Coord,60.71
E00207,Seattle Public Utilities,Opns Response Cntr Op,41.71
E00208,Seattle Public Utilities,"Sfty&Hlth Spec,Sr-BU",60.32
E00209,Seattle Public Utilities,Meter Reader,35.47
E00210,Seattle Public Utilities,Meter Reader,35.47
E00211,Seattle Public Utilities,Util Act Rep II,41.7
E00212,Seattle Public Utilities,Util Act Rep I,37.08
E00213,Seattle Public Utilities,Util Act Rep II,37.08
E00214,Seattle Public Utilities,Util Svc Rep,45.27
E00215,Seattle Public Utilities,Muni Government Intern *,25.68
E00216,Seattle Public Utilities,"Surveyor,Chief",71.59
E00217,Seattle Public Utilities,Cooperative Intern *,20.94
E00218,Seattle Public Utilities,Engrng Aide,35.93
E00219,Seattle Public Utilities,Civil Engr Supv,83.72
E00220,Seattle Public Utilities,Executive2,102.417
E00221,Seattle Public Utilities,"Civil Engr,Sr",77.67
E00222,Seattle Public Utilities,"Util Maint Spec,Sr-SPU",47.23
E00223,Seattle Public Utilities,"Manager3,Utils L21SPU",86.164
