episode,title,release_date
1,I'm Luffy! The Man Who Will Become the Pirate King!,"October 20, 1999"
2,Enter The Great Swordsman! Pirate Hunter Roronoa Zoro!,"November 17, 1999"
3,Morgan vs. Luffy! Who's This Mysterious Beautiful Young Girl?,"November 24, 1999"
4,Luffy's Past! The Red-Haired Shanks Appears!,"December 8, 1999"
5,"Fear, Mysterious Power! Pirate Clown Captain Buggy!","December 15, 1999"
6,Desperate Situation! Beast Tamer Mohji vs. Luffy!,"December 29, 1999"
7,Grand Duel! Zoro the Swordsman vs. Cabaji the Acrobat!,"December 29, 1999"
8,Who Will Win? Showdown Between the True Powers of the Devil Fruit!,"December 29, 1999"
9,Honorable Liar? Captain Usopp,"January 12, 2000"
10,The World's Strongest Weirdo! Jango the Hypnotist!,"January 19, 2000"
11,"Revealing the Conspiracy! The Pirate Caretaker, Captain Kuro!","January 26, 2000"
12,Battle! The Black Cat Pirate Crew. Battle on the Slope!,"February 2, 2000"
13,The Terrifying Duo! Nyaban Brothers vs. Zoro,"February 9, 2000"
14,Luffy's Revival! Kaya-ojousama's Life and Death Confrontation,"February 16, 2000"
15,Defeat Kuro! Usopp's Tear-filled Determination!,"February 23, 2000"
16,Protect Kaya! Usopp Pirate Gang Takes Action!,"March 1, 2000"
17,"Completely Infuriated! Kuro vs. Luffy, Final Battle!","March 8, 2000"
18,You Are a Special Animal! Gaimon and His Bizarre Friends,"March 15, 2000"
19,The Past of the Three Swords! The Promise Between Zoro and Kuina!,"March 22, 2000"
20,The Famous Cook! Sanji of the Floating Restaurant,"April 12, 2000"
21,An Unexpected Guest! Sanji's Food and Gin's Grace,"April 12, 2000"
22,The Greatest Pirate Fleet: Captain Don Krieg,"April 26, 2000"
23,Protect Baratie! The Great Pirate: Zeff the Red Leg,"May 3, 2000"
24,Hawk Eyes Mihawk! Swordsman Zoro Falls into the Sea!,"May 10, 2000"
25,The Emerge of the Superb Kicking Skill: Sanji vs. the Iron Wall Pearl,"May 17, 2000"
26,Zeff and Sanji's Dream: The Sea of Dreams - All Blue,"May 24, 2000"
27,"The Coldhearted Devil-man: Gin, The Pirate Fleet Battle Commander","May 31, 2000"
28,I Won't Die! Conclusion: Luffy vs. Krieg,"June 7, 2000"
29,Outcome of a Deadly Battle! The Spear Inside!,"June 21, 2000"
30,Departure! Sea Chef and Luffy Travel Together!,"June 28, 2000"
31,"The Most Wicked Man of East Blue, Fishman Pirate Arlong","July 12, 2000"
32,"The Witch of Cocoyashi Village, Arlong's Female Officer","July 19, 2000"
33,Usopp's Death?! Luffy - Yet To Land?,"July 19, 2000"
34,Reunited! Usopp Tells Nami's True Story,"July 26, 2000"
35,The Hidden Past! Female Fighter Bellemere!,"August 2, 2000"
36,Survive! The Mother Bellemere and Nami's Family!,"August 9, 2000"
37,Luffy Stands Up! End of a Broken Promise!,"August 16, 2000"
38,Luffy in Trouble! Fishmen vs. Luffy Pirates!,"August 23, 2000"
39,Luffy Drowning! Zoro vs. Octopus Hatchan!,"August 30, 2000"
40,"Proud, Tall Warriors! Dramatic Battle of Sanji and Usopp!","September 6, 2000"
41,Luffy's Best! Nami's Courage and the Straw Hat,"September 13, 2000"
42,"Bursting Out! Fishman Arlong, Fearsome Attack From The Sea!","September 27, 2000"
43,The End of the Fishman Empire! Nami is my Friend!,"September 27, 2000"
44,"Setting off with a Smile! Farewell my Hometown, Cocoyashi Village!","October 11, 2000"
45,Bounty! Straw Hat Luffy Becomes World Famous!,"October 25, 2000"
46,Following the Straw Hat! Little Buggy's Big Adventure,"November 1, 2000"
47,You've Been Waiting For It! The Return of Captain Buggy!,"November 8, 2000"
48,The Town of the Beginning and the End - Arrival at Loguetown,"November 22, 2000"
49,"Sandai Kitetsu and Yubashiri! Zoro's New Swords, and the Female Sergeant Major","November 22, 2000"
50,Usopp vs. Daddy The Father! Showdown at High Noon!,"November 29, 2000"
51,A Burning Culinary Battle? Sanji vs. The Gorgeous Chef,"December 6, 2000"
52,Buggy's Revenge! The Man who Smiles at the Execution Platform!,"December 13, 2000"
53,The Legend Has Begun! Head to the Grand Line,"January 10, 2001"
54,"Foreboding of a New Adventure! The Puzzling Girl, Apis","January 17, 2001"
55,The Holy Beast! Apis' Secret and the Legendary Island,"January 24, 2001"
56,Erik's Raid! Great Escape from Gunkan Island!,"January 31, 2001"
57,Lone Island in a Distant Sea! The Legendary Lost Island,"February 7, 2001"
58,Duel in the Ruins! Strained Zoro vs. Erik,"February 21, 2001"
59,"Luffy, Completely Surrounded! Admiral Nelson's Secret Plan","February 21, 2001"
60,Those Who Soar in the Open Skies! Revival of the 1000 Year Legend,"February 28, 2001"
61,Angry Finale! Cross the Red Line!,"March 7, 2001"
62,The First Obstacle? Giant Whale Laboon Appears,"March 21, 2001"
63,"A Man's Promise, Luffy and the Whale Vow to Meet Again","March 21, 2001"
64,A Pirate-Loving Town? Arrival at Whiskey Peak,"April 15, 2001"
65,Exploding Sant?ry?! Zoro vs. Baroque Works!,"April 15, 2001"
66,A Serious Fight! Luffy vs. Zoro: the Baffling Duel!,"April 22, 2001"
67,Deliver Princess Vivi! Luffy Pirates Depart,"April 29, 2001"
68,"Try Hard, Koby! Diary of Koby-Meppo's Marine Struggles","May 13, 2001"
69,Koby-Meppo's Determination! Vice Admiral Garp's Fatherly Pride,"May 20, 2001"
70,Prehistoric Island! The Shadow Lurking in Little Garden!,"May 27, 2001"
71,Humongous Battle! The Giants Dorry and Brogy!,"June 3, 2001"
72,Luffy's Anger! A Dirty Trick in a Sacred Battle,"June 17, 2001"
73,Brogy Wails in Victory! Elbaf's Judgement,"June 24, 2001"
74,The Devil's Candle! Tears of Regret and Tears of Anger,"July 15, 2001"
75,Luffy Attacked by Magic! Colors Trap,"August 12, 2001"
76,Critical Counterattack! Usopp's Quick Wit and Kaenboshi!,"August 19, 2001"
77,Farewell to the Giants' Island! On to Alabasta,"August 19, 2001"
78,Nami is Sick? Beyond the Snow that Falls on the Ocean!,"August 26, 2001"
79,Ambush! The Bliking and Wapol the Blik,"September 2, 2001"
80,A Doctorless Island? Adventure in the Country Without a Name!,"September 9, 2001"
81,Ya Happy? The Doctor who is Called a Witch!,"September 16, 2001"
